ID,Ativo,Tipo_Ativo,Ação,Tensão_kV,Carga_kVA,Corrente_A,Temperatura_C,Delta_Temp,Tentativas,Duracao_Min,Resultado,Ambiente,Executor,Tipo_Falha,Sprint,Simulado
33,BA_85,Barramento,Sincronismo,16.52,921.4,300.0,35.450362934908306,8.47,3,16.2,Sucesso,Lab,Carrie,,Sprint_18,False
34,RE_5,Relé,Isolamento,11.63,377.8,300.0,31.40777889373782,7.88,3,15.4,Sucesso,Lab,Holly,,Sprint_7,False
35,SE_13,Seccionadora,Intertravamento,12.78,785.5,300.0,41.35569112990457,6.04,3,18.3,Sucesso,Campo,Sarah,,Sprint_6,False
36,RE_44,Relé,Isolamento,13.9,1095.1,300.0,37.368136938637825,5.47,1,10.2,Sucesso,Offshore,Sarah,,Sprint_3,False
37,DI_75,Disjuntor,Sincronismo,12.49,729.5,300.0,30.063853961635374,6.65,1,8.5,Sucesso,Campo,Carrie,,Sprint_4,False
38,DI_73,Disjuntor,Energização,16.39,352.2,300.0,31.768502503496254,1.22,3,21.8,Falha,Campo,Desiree,Elétrica,Sprint_2,True
39,RE_5,Relé,Energização,13.64,1258.1,300.0,31.921070776161443,8.38,1,14.3,Sucesso,Lab,Carrie,,Sprint_3,True
40,SE_55,Seccionadora,Sincronismo,13.81,814.1,300.0,32.749672642603784,4.78,3,17.9,Sucesso,Campo,Philip,,Sprint_4,True
41,DI_32,Disjuntor,Intertravamento,12.56,708.8,300.0,36.211668430415564,7.84,1,16.1,Sucesso,Campo,Ashley,,Sprint_5,True
42,TR_57,Trafo,Energização,14.77,1210.6,300.0,30.17538269709948,1.8,2,22.1,Falha,Lab,Colin,Comunicação,Sprint_15,False
43,RE_52,Relé,Energização,16.05,822.2,300.0,43.14307772785646,8.69,2,8.9,Sucesso,Lab,Richard,,Sprint_10,False
44,BA_88,Barramento,Isolamento,13.79,920.9,300.0,40.6133884239901,2.78,1,5.7,Sucesso,Offshore,Jackie,,Sprint_11,True
45,BA_4,Barramento,Energização,13.71,1086.5,300.0,30.07136976832228,2.33,1,11.5,Sucesso,Lab,Randy,,Sprint_6,True
46,DI_12,Disjuntor,Intertravamento,11.97,451.9,300.0,34.79186982856538,7.03,3,13.3,Sucesso,Campo,Richard,,Sprint_4,False
47,DI_99,Disjuntor,Isolamento,13.84,894.7,300.0,34.82401530768758,7.72,3,16.2,Sucesso,Campo,Lisa,,Sprint_19,False
48,TR_18,Trafo,Intertravamento,12.05,302.3,300.0,36.46833011804733,2.23,1,8.5,Sucesso,Lab,Ashley,,Sprint_17,False
49,DI_68,Disjuntor,Intertravamento,13.79,1244.0,300.0,35.386841538238095,6.07,1,7.4,Sucesso,Lab,Carrie,,Sprint_5,False
50,RE_64,Relé,Intertravamento,13.78,308.6,300.0,37.482890794823994,0.57,2,12.4,Sucesso,Offshore,Jackie,,Sprint_4,False
51,DI_3,Disjuntor,Teste funcional,15.0,843.6,300.0,43.975822783194815,8.3,1,9.8,Sucesso,Lab,Holly,,Sprint_13,False
52,RE_68,Relé,Teste funcional,14.76,555.6,300.0,44.23490165723801,7.79,3,16.8,Sucesso,Offshore,Jennifer,,Sprint_13,False
53,DI_6,Disjuntor,Intertravamento,16.9,216.5,300.0,27.998922244932324,7.0,2,13.7,Sucesso,Campo,Carrie,,Sprint_17,True
54,TR_94,Trafo,Energização,14.48,993.1,300.0,38.419808187372254,9.91,1,9.6,Sucesso,Offshore,Sarah,,Sprint_8,False
55,BA_64,Barramento,Isolamento,14.31,676.4,300.0,32.56196887963753,2.06,2,11.7,Sucesso,Lab,Jennifer,,Sprint_13,False
56,RE_40,Relé,Teste funcional,14.86,1462.5,300.0,44.99024771143514,3.88,1,5.3,Sucesso,Offshore,Erin,,Sprint_19,False
57,TR_7,Trafo,Teste funcional,12.49,679.9,300.0,37.54689058168053,5.57,1,13.7,Sucesso,Lab,Sarah,,Sprint_5,False
58,DI_68,Disjuntor,Intertravamento,14.52,900.1,300.0,40.1876997212895,1.55,2,11.5,Sucesso,Offshore,Janet,,Sprint_5,False
59,BA_76,Barramento,Isolamento,15.1,1206.7,300.0,37.067174516118506,2.89,2,18.6,Sucesso,Lab,Randy,,Sprint_8,False
60,RE_46,Relé,Teste funcional,14.22,462.4,300.0,47.228759898084135,0.67,2,13.4,Sucesso,Campo,Joseph,,Sprint_8,False
61,DI_92,Disjuntor,Intertravamento,12.86,651.4,300.0,37.094197069342435,3.66,3,14.8,Sucesso,Offshore,Desiree,,Sprint_9,False
62,RE_52,Relé,Energização,15.08,103.8,300.0,33.85060214276807,3.8,1,11.9,Sucesso,Offshore,Ashley,,Sprint_19,True
63,DI_71,Disjuntor,Sincronismo,15.01,752.8,300.0,40.40229934502675,6.51,2,7.5,Sucesso,Campo,Erin,,Sprint_17,False
64,DI_20,Disjuntor,Sincronismo,11.79,844.7,300.0,29.6987086302694,4.27,1,6.6,Sucesso,Offshore,Richard,,Sprint_13,False
65,TR_18,Trafo,Energização,13.42,1251.2,300.0,21.74515095803494,4.31,3,19.3,Sucesso,Campo,Janet,,Sprint_7,False
66,RE_74,Relé,Teste funcional,12.13,1325.7,300.0,39.678391965737305,0.76,1,13.8,Sucesso,Offshore,Janet,,Sprint_15,False
67,TR_97,Trafo,Sincronismo,13.27,731.2,300.0,39.069319540618025,8.63,1,14.2,Falha,Campo,Lisa,Comunicação,Sprint_7,False
68,DI_23,Disjuntor,Isolamento,11.3,1329.4,300.0,28.792493845254388,4.11,2,10.6,Sucesso,Campo,Rodney,,Sprint_9,False
69,BA_99,Barramento,Sincronismo,14.05,507.2,300.0,34.900551352546046,2.23,1,11.0,Sucesso,Lab,Carrie,,Sprint_8,False
70,DI_73,Disjuntor,Teste funcional,12.23,733.3,300.0,36.48653489424911,6.99,3,17.9,Sucesso,Campo,Randy,,Sprint_4,False
71,RE_17,Relé,Isolamento,15.34,941.8,300.0,36.28014867156938,6.2,1,12.9,Sucesso,Lab,Philip,,Sprint_17,False
72,BA_62,Barramento,Intertravamento,11.02,503.1,300.0,35.736039146848015,1.15,1,9.3,Sucesso,Campo,Erin,,Sprint_8,False
73,RE_55,Relé,Isolamento,11.17,762.8,300.0,28.840209371269893,8.49,1,10.4,Sucesso,Campo,Edward,,Sprint_2,False
74,RE_73,Relé,Energização,12.23,265.8,300.0,38.83991634847285,4.87,1,14.8,Sucesso,Campo,Ashley,,Sprint_12,False
75,RE_12,Relé,Teste funcional,15.28,621.7,300.0,36.08753952846781,1.32,1,15.8,Sucesso,Campo,Richard,,Sprint_5,False
76,DI_82,Disjuntor,Energização,15.83,1108.6,300.0,35.724687073905905,0.92,1,8.9,Sucesso,Campo,Erin,,Sprint_14,True
77,DI_48,Disjuntor,Intertravamento,15.84,692.2,300.0,41.783166910917274,6.62,3,7.9,Sucesso,Offshore,Ashley,,Sprint_13,True
78,SE_43,Seccionadora,Intertravamento,13.41,840.5,300.0,37.06285198322061,8.01,1,4.2,Sucesso,Campo,Jackie,,Sprint_13,False
79,RE_55,Relé,Teste funcional,13.92,1119.6,300.0,32.41355774949814,5.06,1,14.2,Sucesso,Offshore,Randy,,Sprint_7,False
80,DI_94,Disjuntor,Energização,13.35,558.6,300.0,29.969420534582518,2.72,1,6.8,Sucesso,Campo,Lisa,,Sprint_15,False
81,DI_88,Disjuntor,Sincronismo,15.28,735.8,300.0,34.752681451737836,6.33,1,12.0,Sucesso,Offshore,Janet,,Sprint_20,False
82,SE_74,Seccionadora,Teste funcional,13.02,620.3,300.0,37.77688408403454,3.83,2,11.1,Sucesso,Offshore,Richard,,Sprint_9,False
83,RE_61,Relé,Teste funcional,15.93,628.8,300.0,30.838222134478855,8.25,3,17.4,Sucesso,Campo,Desiree,,Sprint_9,False
84,SE_98,Seccionadora,Teste funcional,13.26,975.1,300.0,37.71749551394671,5.73,1,13.3,Sucesso,Offshore,Rodney,,Sprint_8,False
85,RE_18,Relé,Isolamento,14.84,481.8,300.0,17.59595585619958,6.13,1,7.4,Sucesso,Lab,Janet,,Sprint_13,True
86,TR_80,Trafo,Sincronismo,15.03,952.2,300.0,40.33337344794577,6.38,3,19.5,Sucesso,Campo,Edward,,Sprint_13,False
87,TR_31,Trafo,Intertravamento,13.24,549.9,300.0,31.552298394598168,8.27,3,17.5,Sucesso,Offshore,Colin,,Sprint_13,False
88,DI_17,Disjuntor,Intertravamento,14.77,1449.0,300.0,33.461108825234994,7.73,1,10.7,Sucesso,Lab,Desiree,,Sprint_5,True
89,BA_20,Barramento,Sincronismo,13.52,678.6,300.0,33.18521360515646,6.03,1,10.5,Sucesso,Offshore,Leah,,Sprint_18,False
90,SE_76,Seccionadora,Sincronismo,15.46,1317.6,300.0,31.854640139652854,8.3,1,9.5,Sucesso,Offshore,Colin,,Sprint_14,False
91,BA_81,Barramento,Teste funcional,11.96,746.7,300.0,38.2431816736048,2.6,1,13.0,Sucesso,Lab,Edward,,Sprint_3,False
92,BA_56,Barramento,Sincronismo,14.45,873.0,300.0,33.28155826031108,3.46,1,14.6,Sucesso,Offshore,Colin,,Sprint_3,True
93,DI_24,Disjuntor,Sincronismo,12.06,1569.2,300.0,28.92123312916375,2.44,2,13.5,Sucesso,Offshore,Lisa,,Sprint_18,False
94,TR_93,Trafo,Sincronismo,15.67,947.4,300.0,29.846412485992385,1.69,2,12.9,Sucesso,Campo,Rodney,,Sprint_16,False
95,SE_2,Seccionadora,Teste funcional,16.74,684.5,300.0,36.64247685064908,7.36,1,9.8,Sucesso,Campo,Rodney,,Sprint_9,True
96,TR_88,Trafo,Energização,13.79,452.5,300.0,42.51699150883575,5.82,1,12.6,Sucesso,Lab,Sarah,,Sprint_1,False
97,DI_77,Disjuntor,Sincronismo,11.72,467.8,300.0,39.596514348538776,0.89,2,14.7,Sucesso,Offshore,Tyler,,Sprint_6,False
98,DI_95,Disjuntor,Energização,14.85,918.0,300.0,39.47596610013866,3.72,1,11.9,Sucesso,Offshore,Kimberly,,Sprint_16,False
99,RE_22,Relé,Intertravamento,12.93,792.8,300.0,33.89043773603223,7.39,2,9.4,Sucesso,Campo,Philip,,Sprint_19,True
100,BA_45,Barramento,Isolamento,14.73,1138.8,300.0,49.82505175860361,7.33,3,15.7,Sucesso,Campo,Tyler,,Sprint_10,False
101,SE_93,Seccionadora,Energização,13.3,905.5,300.0,34.5412033800025,8.54,2,14.5,Sucesso,Lab,Kimberly,,Sprint_18,False
102,DI_36,Disjuntor,Intertravamento,13.64,1334.2,300.0,26.835238597290083,6.13,3,14.3,Sucesso,Offshore,Philip,,Sprint_18,False
103,DI_99,Disjuntor,Intertravamento,14.54,878.2,300.0,32.2484742307729,9.73,2,11.0,Sucesso,Campo,Carrie,,Sprint_15,False
104,DI_84,Disjuntor,Intertravamento,14.2,585.9,300.0,30.63024827254287,8.65,2,8.1,Sucesso,Campo,Desiree,,Sprint_11,False
105,RE_93,Relé,Intertravamento,12.47,927.2,300.0,45.948751439045935,9.51,1,6.2,Sucesso,Campo,Edward,,Sprint_5,False
106,BA_37,Barramento,Energização,14.37,929.0,300.0,40.151417270159214,2.46,2,13.7,Sucesso,Lab,Colin,,Sprint_9,False
107,BA_26,Barramento,Isolamento,11.94,988.8,300.0,35.95468875386658,7.04,2,17.3,Falha,Offshore,Edward,,Sprint_2,False
108,SE_57,Seccionadora,Teste funcional,16.93,758.1,300.0,40.54091408368758,2.42,1,6.9,Sucesso,Offshore,Janet,,Sprint_6,False
109,RE_65,Relé,Intertravamento,13.65,792.0,300.0,38.34234064764555,8.71,1,8.4,Sucesso,Campo,Lisa,,Sprint_4,False
110,TR_31,Trafo,Isolamento,15.06,1344.6,300.0,30.049868818468692,6.25,1,8.7,Sucesso,Campo,Jackie,,Sprint_13,False
111,SE_31,Seccionadora,Energização,14.25,564.4,300.0,39.50737314973893,8.84,1,9.6,Sucesso,Campo,Erin,,Sprint_15,False
112,RE_71,Relé,Isolamento,15.11,152.9,300.0,40.31782859693009,4.72,3,22.7,Sucesso,Offshore,Janet,,Sprint_14,False
113,RE_46,Relé,Energização,15.27,702.6,300.0,22.502971425632133,0.74,1,16.9,Sucesso,Campo,Colin,,Sprint_16,False
114,BA_15,Barramento,Teste funcional,14.82,972.6,300.0,33.736571559995184,9.31,2,14.2,Sucesso,Lab,Holly,,Sprint_2,True
115,BA_52,Barramento,Teste funcional,13.89,1030.9,300.0,30.85535959567039,7.32,1,10.5,Sucesso,Lab,Edward,,Sprint_7,False
116,RE_39,Relé,Isolamento,12.93,531.3,300.0,32.16602413476951,9.22,2,14.6,Sucesso,Offshore,Sarah,,Sprint_12,True
117,RE_47,Relé,Teste funcional,17.62,923.9,300.0,37.896450721524424,2.16,1,13.5,Sucesso,Campo,Joseph,,Sprint_4,True
118,TR_60,Trafo,Intertravamento,14.68,1004.3,300.0,33.775998790968494,1.95,1,6.6,Sucesso,Lab,Sarah,,Sprint_17,True
119,SE_15,Seccionadora,Teste funcional,15.25,1463.2,300.0,32.21254107496083,6.15,3,11.9,Sucesso,Offshore,Erin,,Sprint_18,False
120,SE_39,Seccionadora,Energização,14.65,1288.5,300.0,33.10436129506257,1.31,1,9.4,Sucesso,Campo,Janet,,Sprint_1,True
121,DI_68,Disjuntor,Isolamento,12.66,810.0,300.0,31.890908497468043,5.63,3,18.1,Sucesso,Offshore,Ashley,,Sprint_3,True
122,RE_87,Relé,Sincronismo,14.84,1384.0,300.0,33.69750719030639,1.07,2,18.2,Sucesso,Campo,Philip,,Sprint_15,True
123,RE_62,Relé,Energização,10.3,650.2,300.0,31.233508878307212,6.88,2,15.4,Sucesso,Lab,Janet,,Sprint_7,False
124,SE_16,Seccionadora,Sincronismo,14.86,1087.0,300.0,31.070052697460252,1.33,1,6.0,Sucesso,Campo,Edward,,Sprint_3,False
125,RE_68,Relé,Intertravamento,15.05,809.4,300.0,36.2565282040319,8.59,1,10.0,Sucesso,Campo,Randy,,Sprint_6,False
126,TR_30,Trafo,Intertravamento,14.2,896.5,300.0,31.659547731784755,1.27,2,16.0,Sucesso,Offshore,Colin,,Sprint_3,False
127,BA_82,Barramento,Intertravamento,13.46,859.3,300.0,47.32438817928842,7.77,2,12.1,Sucesso,Offshore,Carrie,,Sprint_6,True
128,SE_98,Seccionadora,Isolamento,13.88,958.9,300.0,34.647506109704544,3.46,3,17.5,Sucesso,Campo,Rodney,,Sprint_11,False
129,BA_23,Barramento,Teste funcional,15.52,195.3,300.0,32.18699859173154,5.1,1,8.2,Sucesso,Offshore,Carrie,,Sprint_19,True
130,SE_73,Seccionadora,Sincronismo,12.88,709.3,300.0,33.05911590729386,5.34,1,10.5,Sucesso,Campo,Kimberly,,Sprint_4,False
131,RE_63,Relé,Isolamento,13.61,1096.8,300.0,32.46446052933696,4.43,3,12.5,Sucesso,Campo,Joseph,,Sprint_2,True
132,SE_79,Seccionadora,Isolamento,12.98,917.5,300.0,27.605442156129357,0.62,1,10.6,Sucesso,Campo,Leah,,Sprint_5,False
133,BA_81,Barramento,Teste funcional,15.02,407.6,300.0,26.285878341332122,1.92,3,16.0,Sucesso,Lab,Janet,,Sprint_3,False
134,BA_29,Barramento,Intertravamento,14.23,862.1,300.0,40.71163227269176,4.66,2,9.6,Sucesso,Lab,Janet,,Sprint_11,False
135,TR_86,Trafo,Energização,12.84,850.5,300.0,29.04354930356097,7.51,1,10.2,Sucesso,Campo,Janet,,Sprint_11,False
136,TR_24,Trafo,Teste funcional,12.6,1189.6,300.0,30.095412785198512,7.86,1,6.0,Sucesso,Offshore,Joseph,,Sprint_5,False
137,RE_38,Relé,Sincronismo,14.06,873.7,300.0,30.69308148821628,1.16,1,7.4,Sucesso,Lab,Leah,,Sprint_10,False
138,BA_91,Barramento,Intertravamento,15.98,1339.8,300.0,38.72900625530202,6.74,1,11.8,Sucesso,Campo,Janet,,Sprint_18,True
139,DI_59,Disjuntor,Sincronismo,12.13,689.3,300.0,36.575202445908076,6.92,1,9.5,Sucesso,Campo,Tyler,,Sprint_7,False
140,DI_47,Disjuntor,Intertravamento,11.94,981.7,300.0,28.532206804163508,1.01,3,16.7,Sucesso,Campo,Philip,,Sprint_18,True
141,SE_79,Seccionadora,Sincronismo,13.01,975.9,300.0,41.19141535716818,7.46,1,10.1,Sucesso,Campo,Tyler,,Sprint_19,True
142,BA_25,Barramento,Isolamento,13.59,432.7,300.0,33.95488371356987,8.1,1,7.4,Sucesso,Campo,Lisa,,Sprint_7,False
143,RE_41,Relé,Isolamento,16.26,1587.5,300.0,36.15466720414997,8.41,3,16.7,Sucesso,Lab,Kimberly,,Sprint_11,False
144,TR_58,Trafo,Sincronismo,16.15,424.9,300.0,31.612621715014185,1.81,3,18.0,Sucesso,Offshore,Randy,,Sprint_6,True
145,BA_57,Barramento,Isolamento,14.07,549.3,300.0,46.071257617311375,1.12,1,9.1,Sucesso,Lab,Colin,,Sprint_18,False
146,BA_60,Barramento,Teste funcional,12.57,799.0,300.0,34.14907688737536,7.96,3,14.6,Sucesso,Offshore,Jackie,,Sprint_13,True
147,DI_55,Disjuntor,Energização,13.68,763.5,300.0,42.567248716210656,9.98,2,14.9,Sucesso,Campo,Richard,,Sprint_6,False
148,TR_15,Trafo,Sincronismo,15.6,218.8,300.0,28.73325903439057,3.94,1,11.0,Sucesso,Offshore,Richard,,Sprint_13,False
149,TR_51,Trafo,Isolamento,12.92,409.7,300.0,27.998974783154456,4.63,2,4.6,Sucesso,Lab,Jennifer,,Sprint_7,False
150,TR_1,Trafo,Energização,13.1,696.2,300.0,38.64234956236467,4.98,2,12.5,Sucesso,Lab,Erin,,Sprint_3,True
151,RE_80,Relé,Intertravamento,13.08,1014.2,300.0,35.86958041916881,0.94,1,9.5,Sucesso,Campo,Jennifer,,Sprint_18,False
152,RE_32,Relé,Teste funcional,13.9,954.8,300.0,27.187270715567287,7.44,1,15.4,Falha,Campo,Tyler,Comunicação,Sprint_5,False
153,TR_89,Trafo,Isolamento,11.38,1149.4,300.0,31.327042116009753,8.58,1,7.6,Sucesso,Campo,Colin,,Sprint_11,True
154,DI_17,Disjuntor,Intertravamento,13.68,551.3,300.0,28.66829747187148,9.48,1,9.8,Sucesso,Lab,Jackie,,Sprint_16,False
155,BA_88,Barramento,Sincronismo,13.91,793.5,300.0,34.93198582777339,3.73,2,17.4,Sucesso,Offshore,Jennifer,,Sprint_14,False
156,SE_79,Seccionadora,Sincronismo,13.26,953.4,300.0,36.58735967365545,7.83,1,9.9,Sucesso,Lab,Tyler,,Sprint_8,True
157,RE_99,Relé,Sincronismo,10.49,488.8,300.0,34.364342791740015,2.36,2,10.4,Sucesso,Campo,Jennifer,,Sprint_5,False
158,DI_47,Disjuntor,Intertravamento,14.53,546.1,300.0,31.78225083841269,8.64,1,13.1,Sucesso,Offshore,Janet,,Sprint_6,True
159,DI_8,Disjuntor,Isolamento,14.97,970.3,300.0,40.017492267764325,9.69,1,8.1,Sucesso,Offshore,Lisa,,Sprint_16,False
160,SE_21,Seccionadora,Isolamento,14.38,568.3,300.0,32.4894849795056,4.1,1,11.7,Sucesso,Campo,Carrie,,Sprint_20,False
161,TR_60,Trafo,Sincronismo,11.81,1125.0,300.0,38.68378877720544,8.86,3,14.3,Sucesso,Campo,Sarah,,Sprint_3,True
162,DI_51,Disjuntor,Intertravamento,14.95,1177.1,300.0,27.4077552801763,8.49,1,13.7,Sucesso,Offshore,Tyler,,Sprint_1,True
163,RE_66,Relé,Teste funcional,13.1,860.3,300.0,36.41643935773071,2.66,1,9.2,Sucesso,Campo,Desiree,,Sprint_6,False
164,SE_99,Seccionadora,Energização,15.34,405.0,300.0,38.61805293614437,6.82,1,12.0,Sucesso,Lab,Colin,,Sprint_14,False
165,BA_72,Barramento,Teste funcional,15.76,686.8,300.0,33.111745693327215,4.5,3,16.0,Sucesso,Offshore,Jackie,,Sprint_19,False
166,TR_42,Trafo,Teste funcional,15.13,642.0,300.0,38.296902930934756,1.57,3,14.8,Sucesso,Campo,Carrie,,Sprint_1,False
167,DI_14,Disjuntor,Teste funcional,14.78,1258.3,300.0,33.2144881509613,3.73,2,15.4,Sucesso,Lab,Ashley,,Sprint_3,True
168,RE_85,Relé,Isolamento,12.41,871.5,300.0,39.87598814891215,8.85,1,11.5,Sucesso,Offshore,Desiree,,Sprint_8,False
169,BA_46,Barramento,Energização,12.32,659.4,300.0,42.16085071762316,6.58,2,12.2,Sucesso,Lab,Ashley,,Sprint_13,False
170,BA_66,Barramento,Intertravamento,14.33,794.1,300.0,31.881972825353966,8.97,1,5.4,Sucesso,Lab,Janet,,Sprint_19,True
171,DI_57,Disjuntor,Isolamento,17.24,648.0,300.0,22.412834488012354,5.01,1,5.7,Sucesso,Lab,Richard,,Sprint_14,True
172,TR_20,Trafo,Sincronismo,13.34,261.7,300.0,27.74644041128262,4.27,3,15.0,Sucesso,Campo,Joseph,,Sprint_17,False
173,SE_51,Seccionadora,Teste funcional,15.41,806.4,300.0,44.50595342876504,9.93,2,12.8,Sucesso,Campo,Sarah,,Sprint_8,False
174,BA_72,Barramento,Isolamento,14.96,1259.4,300.0,39.60623842455173,9.57,1,8.4,Sucesso,Campo,Lisa,,Sprint_13,False
175,DI_47,Disjuntor,Sincronismo,12.74,902.8,300.0,30.83853058440914,4.01,1,3.4,Sucesso,Campo,Sarah,,Sprint_12,True
176,DI_39,Disjuntor,Intertravamento,15.64,1147.1,300.0,40.880875526199596,0.6,1,4.8,Sucesso,Campo,Erin,,Sprint_3,False
177,TR_2,Trafo,Isolamento,13.89,576.6,300.0,26.51451307506874,5.12,2,11.1,Sucesso,Campo,Richard,,Sprint_6,False
178,TR_18,Trafo,Sincronismo,12.01,1075.7,300.0,40.00291159021489,4.74,1,8.0,Sucesso,Offshore,Ashley,,Sprint_15,False
179,TR_48,Trafo,Intertravamento,13.39,777.5,300.0,37.88419083937297,5.36,2,5.8,Sucesso,Campo,Sarah,,Sprint_1,False
180,TR_29,Trafo,Intertravamento,15.77,1218.7,300.0,32.189159867108486,4.39,1,9.4,Sucesso,Campo,Janet,,Sprint_2,False
181,BA_65,Barramento,Sincronismo,12.13,829.3,300.0,34.42856022199057,9.29,1,9.5,Sucesso,Lab,Rodney,,Sprint_15,False
182,RE_37,Relé,Intertravamento,13.09,114.0,300.0,35.6287558626771,5.68,2,13.0,Sucesso,Offshore,Kimberly,,Sprint_17,False
183,BA_69,Barramento,Isolamento,17.75,258.3,300.0,32.418789564954196,8.47,1,8.0,Sucesso,Campo,Holly,,Sprint_17,False
184,BA_21,Barramento,Sincronismo,14.06,1178.1,300.0,36.46631051623399,10.0,2,9.5,Sucesso,Offshore,Jennifer,,Sprint_19,False
185,TR_82,Trafo,Energização,13.52,1232.0,300.0,31.53065839595991,8.6,2,14.4,Sucesso,Offshore,Colin,,Sprint_11,False
186,BA_21,Barramento,Teste funcional,12.78,822.7,300.0,33.19177361157171,0.83,3,21.9,Sucesso,Offshore,Jackie,,Sprint_12,False
